1000 2000000
87 17 B
57 41 B
108 31 A
157 18 A
53 19 A
168 26 A
112 34 A
102 12 B
191 22 A
56 25 B
113 19 B
95 33 A
78 44 A
62 43 A
174 6 A
133 8 A
82 16 B
157 44 B
199 13 A
91 11 A
100 12 A
178 18 A
148 38 A
181 8 A
170 17 B
157 12 A
60 38 B
182 14 A
142 33 A
55 9 B
138 14 B
120 24 A
57 28 B
120 13 A
171 11 A
176 18 B
89 17 B
78 6 B
118 11 B
79 24 B
77 12 B
186 17 A
93 7 A
113 32 A
65 33 A
199 9 A
197 23 B
134 19 A
112 7 A
189 41 B
114 31 A
69 30 B
141 39 A
183 24 B
189 12 A
79 18 A
191 33 A
171 5 B
88 8 B
162 15 A
135 38 B
146 43 B
135 43 B
123 30 B
57 7 B
60 28 B
111 17 A
154 32 A
62 35 B
99 14 B
139 27 A
161 30 A
177 29 B
79 9 B
135 40 A
95 43 A
85 18 A
195 7 A
197 13 B
96 9 A
72 42 A
156 24 B
84 16 B
198 34 B
148 33 B
75 32 B
107 21 B
76 19 A
104 40 B
168 44 A
121 39 B
188 37 A
67 7 A
67 20 A
61 44 B
134 28 A
111 25 A
119 16 A
61 20 A
136 35 A
129 12 A
103 40 B
61 7 A
156 22 A
55 15 B
92 33 A
70 41 A
106 13 A
135 6 B
192 10 B
143 7 A
123 6 B
103 6 A
157 15 A
179 29 B
183 19 A
172 19 A
192 41 A
124 33 A
72 16 A
199 38 A
93 37 B
79 5 A
166 42 B
63 35 B
179 35 B
180 5 A
144 44 A
134 34 A
176 44 B
167 37 B
153 14 B
154 14 A
128 16 B
57 21 A
84 18 B
100 38 B
152 15 B
144 23 B
182 44 A
149 9 B
121 11 A
61 19 B
74 36 A
171 17 B
82 8 B
86 25 B
116 13 B
157 37 A
144 44 A
77 11 B
94 12 A
85 34 B
110 14 A
59 7 A
197 32 A
190 24 A
135 40 B
86 28 B
111 43 A
109 37 B
169 17 A
82 23 B
178 22 A
71 21 B
158 18 A
77 31 A
130 7 A
92 33 A
66 28 A
150 22 A
68 15 B
145 29 A
108 11 A
167 39 A
94 17 B
124 20 A
108 9 A
115 20 B
109 16 A
98 35 B
170 34 B
99 10 B
139 29 A
193 39 B
132 38 A
62 6 A
68 32 A
89 25 A
95 39 B
143 11 A
176 43 A
84 31 A
153 19 A
58 24 B
66 30 B
138 9 A
131 36 B
192 9 B
134 18 A
164 39 A
143 23 B
195 23 B
58 27 B
75 13 B
164 18 B
121 35 B
102 26 B
131 11 B
128 16 A
71 19 B
157 8 B
99 9 A
83 38 B
193 11 B
58 8 B
121 21 A
167 33 A
175 11 A
109 8 B
75 6 A
137 30 A
190 18 B
75 24 A
131 26 A
88 42 B
141 29 A
121 39 A
125 35 B
90 8 B
145 37 A
192 22 A
105 7 A
100 6 B
113 23 B
73 11 B
140 44 B
130 22 A
160 5 A
135 16 B
154 5 A
150 10 A
79 20 B
89 28 B
66 28 B
58 15 B
119 36 B
118 6 A
155 16 B
98 9 A
122 29 A
194 32 B
131 20 A
150 29 A
52 43 A
124 6 A
184 12 A
133 6 B
64 12 B
141 38 B
132 14 B
178 26 A
51 9 B
66 28 B
157 27 A
89 25 A
90 31 B
195 26 A
170 37 B
113 17 B
133 7 A
173 9 A
139 42 A
188 41 A
113 29 A
118 12 A
89 34 A
178 44 A
78 5 B
119 8 A
188 28 A
77 29 B
179 43 B
129 10 A
75 40 A
114 16 A
153 35 A
168 17 B
72 34 B
59 9 B
91 5 B
51 7 A
114 29 A
110 29 A
111 22 B
152 29 B
155 11 B
192 22 B
88 19 A
91 13 B
187 28 A
158 44 B
165 27 A
93 28 B
76 41 B
102 34 A
87 44 B
187 26 A
99 7 B
138 18 A
148 38 A
71 12 A
132 41 A
66 20 B
141 36 B
121 44 B
195 24 B
159 30 A
177 30 B
131 30 A
181 24 B
102 43 A
74 20 B
88 30 A
185 34 B
62 18 A
146 16 A
98 35 B
186 16 A
83 21 A
160 15 A
183 25 A
152 7 A
190 20 B
77 10 A
182 20 B
95 40 A
163 20 A
166 35 A
123 18 B
92 20 B
165 21 A
175 31 B
127 12 B
130 14 A
79 6 A
78 11 B
102 40 A
113 33 A
147 43 A
152 18 B
72 39 A
84 32 B
72 15 B
116 41 B
56 22 B
104 34 A
83 22 A
111 13 A
113 38 A
71 37 A
88 20 B
51 16 A
180 14 A
145 42 B
174 39 B
86 22 A
80 38 B
87 31 B
125 32 B
191 20 B
198 33 A
180 27 B
55 12 A
136 15 B
75 43 A
194 31 A
185 31 A
112 9 B
187 7 B
194 44 A
144 15 A
164 11 A
125 38 A
151 32 A
94 22 A
180 9 B
98 15 B
88 31 B
55 43 B
127 9 A
136 27 B
127 15 B
166 21 B
189 10 B
62 22 A
125 41 B
91 34 A
168 24 A
83 9 A
67 31 B
62 13 A
70 24 A
64 19 A
126 7 B
187 28 A
104 21 B
175 40 B
59 20 A
175 29 B
148 19 B
183 39 A
115 13 A
85 32 B
88 9 B
61 15 B
178 24 A
159 17 B
67 16 A
146 6 B
169 20 A
68 36 A
186 27 A
53 33 B
186 16 B
194 24 B
88 22 B
157 14 B
127 22 A
146 8 A
152 25 B
121 8 A
80 12 A
107 5 A
110 20 B
182 40 A
60 29 B
60 12 B
162 7 B
65 18 A
164 39 A
186 6 B
71 21 B
194 25 A
172 35 A
163 37 A
130 22 A
154 36 B
160 32 A
67 9 A
122 7 B
131 18 A
144 38 B
100 14 B
